account_id,symbol,position_date,quantity,cost_basis_per_share,closing_price,currency
ACC001,AAPL,2025-01-15,100,185.50,185.50,USD
ACC001,MSFT,2025-01-15,50,420.25,420.25,USD
ACC001,GOOGL,2025-01-15,100,142.80,142.80,USD
ACC002,GOOGL,2025-01-15,75,142.80,142.80,USD
ACC002,AAPL,2025-01-15,200,185.50,185.50,USD
ACC002,NVDA,2025-01-15,120,505.30,505.30,USD
ACC003,TSLA,2025-01-15,0,238.45,238.45,USD
ACC003,NVDA,2025-01-15,80,505.30,505.30,USD
ACC004,AAPL,2025-01-15,500,185.50,185.50,USD
ACC004,MSFT,2025-01-15,300,420.25,420.25,USD
